Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
YGR273C,,,853190
YIL016W,SNL1,,854796
YML001W,YPT7,AST4,855012
YML001W,YPT7,VAM4,855012
YDR266C,HEL2,,851859
YPL092W,SSU1,LPG16,856013
YGR086C,PIL1,,852977
YGR228W,,,
YJR130C,STR2,,853594
YKR058W,GLG1,,853932
YEL010W,,,
YKL183C-A,,,1500485
YLR253W,MCP2,,850955
YDL242W,,,
YDR002W,YRB1,CST20,851565
YDR002W,YRB1,HTN1,851565
YDR002W,YRB1,SFO1,851565
YGL145W,TIP20,TIP1,852732
YDR214W,AHA1,,851800
YBR284W,,,852587
YEL040W,UTR2,CRH2,856671
YDR130C,FIN1,,851708
YNR036C,MRPS12,,855772
YEL059W,HHY1,,
YOL029C,,,854128
Q0160,SCEI,,854590
YDL176W,,,851378
YIL144W,,HEC1,854662
YIL144W,,NDC80,854662
YGR098C,ESP1,,852990
YOL155W-A,,,1466474
YPR181C,SEC23,,856311
YGR074W,SMD1,SPP92,852964
YBR158W,AMN1,CST13,852455
YBR158W,AMN1,ICS4,852455
YDR358W,GGA1,,851960
YDR544C,,,
YLR390W-A,CCW14,SSR1,851107
YLR390W-A,CCW14,YLR391W,851107
YLR390W-A,CCW14,YLR391W-A,851107
YGL098W,USE1,SLT1,852780
YDR460W,TFB3,RIG2,852071
YNL304W,YPT11,,855412
YOR072W,YOR072W,,
YOL161C,PAU20,,854003
snR58,SNR58,,
YBR111W-A,SUS1,,1466445
YJR069C,HAM1,,853532
YER105C,NUP157,,856842
tV(AAC)J,,,
YHR182C-A,,,
YML114C,TAF8,TAF65,854926
YBL071C,,,852208
snR84,SNR84,,
YJR120W,,,853584
YIL026C,IRR1,SCC3,854786
YJL186W,MNN5,,853253
snR7-S,SNR7-S,,
Q0070,AI5_ALPHA,,854597
YJL008C,CCT8,,853447
YNL119W,NCS2,TUC2,855603
YDR034W-B,,,851604
YCR036W,RBK1,,850402
YNL034W,,,855697
YHR025W,THR1,,856420
YJL061W,NUP82,HRB187,853385
YMR319C,FET4,,855369
YOL122C,SMF1,SBS1,854027
YLR233C,EST1,,850934
YDL028C,MPS1,RPK1,851533
YNL187W,SWT21,,855534
YEL053C,MAK10,NAA35,856657
YCR063W,BUD31,CWC14,850427
YOR252W,TMA16,,854426
YAL034W-A,MTW1,DSN3,851197
YAL034W-A,MTW1,NSL2,851197
YEL046C,GLY1,,856665
YOR157C,PUP1,,854328
YNL310C,ZIM17,HEP1,855406
YNL310C,ZIM17,TIM15,855406
YGL096W,TOS8,,852783
YGR240C-A,,,1466463
YCL042W,,,850315
YBR126W-B,,,
YDR061W,,,851633
YER137C,,,856877
YDR060W,MAK21,NOC1,851632
YJR085C,,,853547
YHR055C,CUP1-2,CUP1,856450
YHR055C,CUP1-2,CUP1,856450
YHR055C,CUP1-2,CUP1,856452
YHR055C,CUP1-2,CUP1,856452
YLR347W-A,,,
YPR171W,BSP1,,856301
YHR073W,OSH3,,856472
YPR122W,AXL1,FUS5,856240
YPR122W,AXL1,STE22,856240
YGR172C,YIP1,,853082
YJR040W,GEF1,CLC,853497
YBR229C,ROT2,GLS2,852530
YDR169C-A,,,1466433
YDR363W,ESC2,,851965
YKR052C,MRS4,,853926
YPL091W,GLR1,LPG17,856014
YKL157W,APE2,LAP1,853699
YKL157W,APE2,YKL158W,853699
YPL137C,GIP3,,855967
YDR422C,SIP1,,852032
YOL107W,,,854043
YDR119W,VBA4,,851697
YER013W,PRP22,,856732
tD(GUC)I1,,,
tR(ACG)D,,,
YHL015W-A,,,1466525
YLR117C,CLF1,NTC77,850808
YLR117C,CLF1,SYF3,850808
YJL189W,RPL39,PUB2,853250
YJL189W,RPL39,RPL46,853250
YJL189W,RPL39,SPB2,853250
YOR274W,MOD5,,854448
YNL277W,MET2,,855444
YAL064W-B,,,851233
YDR097C,MSH6,PMS3,851671
YIL163C,,,854643
YAL018C,LDS1,,851215
YBR042C,CST26,PSI1,852330
YKL068W-A,,,1500487
YKR062W,TFA2,,853936
YNL126W,SPC98,,855597
YKL091C,YKL091C,SFH1,853771
YOL013W-B,YOL013W-B,,
YKR073C,,,
YJR039W,,,853495
Q0142,Q0142,,
YGR194C,XKS1,,853108
YML075C,HMG1,,854900
YHR064C,SSZ1,PDR13,856461
YMR075W,RCO1,,855097
YKR087C,OMA1,,853962
YBR150C,TBS1,,852447
YER147C-A,,,
YOR343C,,,
YDR042C,,,851612
YGL026C,TRP5,,852858
tL(UAA)N,,,
YNL210W,MER1,,855511
YNR041C,COQ2,,855778
YML129C,COX14,,854910
YGL213C,SKI8,REC103,852659
YHL041W,,,
YLR110C,CCW12,,850800
YOR093C,CMR2,,854260
Q0275,COX3,OXI2,24573142
Q0275,COX3,OXI2,854627
YGL248W,PDE1,,852644
YNL193W,,,855528
YNL301C,RPL18B,RP28A,854029
YNL301C,RPL18B,RP28B,854029
YNL301C,RPL18B,RP28A,855415
YNL301C,RPL18B,RP28B,855415
YDL160C,DHH1,,851394
YGL075C,MPS2,MMC1,852805
YPL014W,CIP1,,856093
YHR143W,DSE2,,856546
YGL256W,ADH4,NRC465,852636
YGL256W,ADH4,ZRG5,852636
YDR425W,SNX41,,852035
YOR381W-A,,,1466489
YBR298C,MAL31,,852601
YEL036C,ANP1,GEM3,856675
YEL036C,ANP1,MNN8,856675
YBR143C,SUP45,SAL4,852440
YBR143C,SUP45,SUP1,852440
YBR143C,SUP45,SUP47,852440
YML073C,RPL6A,YL16A,854902
YMR149W,SWP1,,855180
snR13,SNR13,,
YNL263C,YIF1,,855458
YAL037C-A,,,1466428
YIL139C,REV7,,854667
YLR072W,LAM6,,850761
YOL065C,INP54,,854089
YNL059C,ARP5,,855665
YOR092W,ECM3,YOR3165W,854259
YMR233W,TRI1,,855273
YDR228C,PCF11,,851814
YGL012W,ERG4,,852872
YPL164C,MLH3,,855939
YPL163C,SVS1,,855940
YLR069C,MEF1,,850758
YHR052W-A,,,
YLR403W,SFP1,,851119
YNL028W,,,
YOR207C,RET1,PDS2,854382
YOR207C,RET1,RPC128,854382
YOR207C,RET1,RPC2,854382
YKL070W,,,853793
YPR069C,SPE3,,856182
YPL038W-A,,,1466521
YJL202C,,,
YDR319C,,FIT2A,851917
YJL009W,,,
YDR471W,RPL27B,,852082
YLR008C,PAM18,TIM14,850694
YNL044W,YIP3,,855683
YER094C,PUP3,SCS32,856830
YBR014C,GRX7,,852302
YDR089W,VTC5,,851663
tS(AGA)B,,,
YMR048W,CSM3,,855067
YGL082W,,,852798
YLR231C,BNA5,,850933
YOR365C,,,854548
YIL171W,YIL171W,,
YML030W,RCF1,,854978
YBR259W,,,852562
YJR005W,APL1,YAP80,853461
YMR118C,SHH3,,855145
YOL005C,RPB11,,854157
YOL020W,TAT2,LTG3,854139
