Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000244274,C20orf35,DBNDD2,55861
ENSG00000244274,HSMNP1,DBNDD2,55861
ENSG00000275351,CD158I,KIR2DS4,3809
ENSG00000275351,cl-39,KIR2DS4,3809
ENSG00000275351,KKA3,KIR2DS4,3809
ENSG00000275351,nkat8,KIR2DS4,3809
ENSG00000170340,B3GN-T1,B3GNT2,10678
ENSG00000170340,B3GN-T2,B3GNT2,10678
ENSG00000170340,B3GNT-2,B3GNT2,10678
ENSG00000170340,B3GNT1,B3GNT2,10678
ENSG00000170340,BETA3GNT,B3GNT2,10678
ENSG00000274570,,SPDYE10P,
ENSG00000205054,UNQ6975,LINC01121,
ENSG00000230922,,AL079301.1,
ENSG00000273372,,SFTPD-AS1,
ENSG00000174384,PMS2L14,PMS2P6,
ENSG00000276084,CD158Z,KIR3DL3,115653
ENSG00000276084,KIR3DL7,KIR3DL3,115653
ENSG00000276084,KIR44,KIR3DL3,115653
ENSG00000276084,KIRC1,KIR3DL3,115653
ENSG00000280259,,AL512662.1,
ENSG00000242600,COLEC3P,MBL1P,
ENSG00000242600,MBL1P1,MBL1P,
ENSG00000056487,BHC80L,PHF21B,112885
ENSG00000056487,FLJ34161,PHF21B,112885
ENSG00000056487,PHF4,PHF21B,112885
ENSG00000225386,,AC099754.1,
ENSG00000270335,,AC093159.2,
ENSG00000228541,,AC093159.1,
ENSG00000283101,,BMS1P21,
ENSG00000133661,COLEC7,SFTPD,6441
ENSG00000133661,SFTP4,SFTPD,6441
ENSG00000133661,SP-D,SFTPD,6441
ENSG00000174799,CEP4,CEP135,9662
ENSG00000174799,FLJ13621,CEP135,9662
ENSG00000174799,KIAA0635,CEP135,9662
ENSG00000147874,dgt6,HAUS6,54801
ENSG00000147874,FAM29A,HAUS6,54801
ENSG00000147874,FLJ20060,HAUS6,54801
ENSG00000147874,KIAA1574,HAUS6,54801
ENSG00000231393,,AL357874.2,
ENSG00000227933,,AL357874.1,
ENSG00000107140,,TESK1,7016
ENSG00000100664,,EIF5,1983
ENSG00000279319,,AC105074.1,
ENSG00000222030,,LINC01793,
ENSG00000280612,,AL590006.2,
ENSG00000223839,DKFZp686P0734,FAM95B1,
ENSG00000152217,KIAA0437,SETBP1,26040
ENSG00000152217,SEB,SETBP1,26040
ENSG00000281853,,AL034349.2,
ENSG00000116731,HUMHOXY1,PRDM2,7799
ENSG00000116731,KMT8,PRDM2,7799
ENSG00000116731,KMT8A,PRDM2,7799
ENSG00000116731,MTB-ZF,PRDM2,7799
ENSG00000116731,RIZ,PRDM2,7799
ENSG00000116731,RIZ1,PRDM2,7799
ENSG00000116731,RIZ2,PRDM2,7799
ENSG00000231043,,AC007238.1,
ENSG00000286604,,AC007100.2,
ENSG00000281502,,ASH2LP1,
ENSG00000177666,ATGL,PNPLA2,57104
ENSG00000177666,desnutrin,PNPLA2,57104
ENSG00000177666,FP17548,PNPLA2,57104
